ARDMS SYSTEM BACKUP REPORT - DATE: 2026-07-14
Device Hostname: , DESKTOP-KBHB0SB
Device Info: , DESKTOP-KBHB0SB (User: Alienware, OS: Windows_NT x64)
Generated At: , 14/7/2026, 11:09:54 pm

SECTION 1: RESCUE REQUESTS & TASKS
Request ID,Type,Urgency,Status,Latitude,Longitude,Details/Location,Assigned Responder,Created At,Updated At,Device Node
467,pregnancy,critical,completed,13.085,80.272,"Critical Emergency Triggered
[Declined by Rescuer ID: 13]",Ram (MEM-07),2026-07-14 13:41:38,2026-07-14 13:42:20,DESKTOP-KBHB0SB
468,sos,normal,completed,12.9943849,80.1956508,"{""transportMode"":""AIR"",""needs"":[6,2,1,2],""peopleCount"":""5"",""address"":"""",""attachments"":{""voice"":false,""camera"":true,""note"":false}}
[Declined by Rescuer ID: 13]",Ram (MEM-07),2026-07-14 16:39:54,2026-07-14 16:40:57,DESKTOP-KBHB0SB
469,medical,critical,completed,12.9943859,80.1956509,Critical Emergency Triggered,Ram (MEM-07),2026-07-14 17:18:12,2026-07-14 17:18:50,DESKTOP-KBHB0SB
470,medical,critical,completed,12.9943873,80.195647,Critical Emergency Triggered,Ram (MEM-07),2026-07-14 17:19:20,2026-07-14 17:19:48,DESKTOP-KBHB0SB
471,sos,normal,completed,12.9943886,80.1956554,"{""transportMode"":""AIR"",""needs"":[6,2,1,2],""peopleCount"":""5"",""address"":"""",""attachments"":{""voice"":false,""camera"":false,""note"":false}}
[Ignored by Rescuer ID: 13]",Neha Sharma (MEM-04),2026-07-14 17:35:56,2026-07-14 17:36:56,DESKTOP-KBHB0SB
472,sos,normal,completed,12.9943855,80.1956565,"{""transportMode"":""AIR"",""needs"":[6,2,1,2],""peopleCount"":""5"",""address"":"""",""attachments"":{""voice"":false,""camera"":false,""note"":false}}
[Declined by Rescuer ID: 13]",Neha Sharma (MEM-04),2026-07-14 17:37:36,2026-07-14 17:38:35,DESKTOP-KBHB0SB
473,supplies,normal,completed,13.085,80.272,"{""transportMode"":""BOAT"",""needs"":[6,2,1,2],""peopleCount"":""5"",""address"":"""",""attachments"":{""voice"":false,""camera"":false,""note"":false}}
[Declined by Rescuer ID: 13]",Ram (MEM-07),2026-07-14 17:39:07,2026-07-14 17:39:51,DESKTOP-KBHB0SB
249,N/A,919000000007,"{""message"":""AI ASSIGNED: MEDICAL at Detected via GPS"",""sector"":""Detected via GPS"",""lat"":12.9943873,""lng"":80.195647,""urgency"":""critical"",""rescue_req_id"":470,""requester_name"":""ram"",""requester_phone"":""918000000004"",""details"":""Critical Emergency Triggered"",""assigned_by"":""AI"",""assignment_version"":1}",Critical,completed,2026-07-14 17:19:41,,DESKTOP-KBHB0SB
250,N/A,919000000007,"{""message"":""SELF-ASSIGNED: MEDICAL at Detected via GPS"",""sector"":""Detected via GPS"",""lat"":12.9943873,""lng"":80.195647,""urgency"":""critical"",""rescue_req_id"":470,""requester_name"":""ram"",""requester_phone"":""918000000004"",""details"":""Critical Emergency Triggered"",""assigned_by"":""Self""}",Critical,completed,2026-07-14 17:19:48,,DESKTOP-KBHB0SB
251,N/A,919000000007,"{""message"":""AI ASSIGNED: SOS at Detected via GPS"",""sector"":""Detected via GPS"",""lat"":12.9943886,""lng"":80.1956554,""urgency"":""normal"",""rescue_req_id"":471,""requester_name"":""ram"",""requester_phone"":""918000000004"",""details"":""{\""transportMode\"":\""AIR\"",\""needs\"":[6,2,1,2],\""peopleCount\"":\""5\"",\""address\"":\""\"",\""attachments\"":{\""voice\"":false,\""camera\"":false,\""note\"":false}}"",""assigned_by"":""AI"",""assignment_version"":1}",Normal,completed,2026-07-14 17:36:11,,DESKTOP-KBHB0SB
252,N/A,919000000004,"{""message"":""AI ASSIGNED: SOS at Detected via GPS"",""sector"":""Detected via GPS"",""lat"":12.9943886,""lng"":80.1956554,""urgency"":""normal"",""rescue_req_id"":471,""requester_name"":""ram"",""requester_phone"":""918000000004"",""details"":""{\""transportMode\"":\""AIR\"",\""needs\"":[6,2,1,2],\""peopleCount\"":\""5\"",\""address\"":\""\"",\""attachments\"":{\""voice\"":false,\""camera\"":false,\""note\"":false}}\n[Ignored by Rescuer ID: 13]"",""assigned_by"":""AI"",""assignment_version"":3}",Normal,completed,2026-07-14 17:36:41,,DESKTOP-KBHB0SB
253,N/A,919000000004,"{""message"":""SELF-ASSIGNED: SOS at Detected via GPS"",""sector"":""Detected via GPS"",""lat"":12.9943886,""lng"":80.1956554,""urgency"":""normal"",""rescue_req_id"":471,""requester_name"":""ram"",""requester_phone"":""918000000004"",""details"":""{\""transportMode\"":\""AIR\"",\""needs\"":[6,2,1,2],\""peopleCount\"":\""5\"",\""address\"":\""\"",\""attachments\"":{\""voice\"":false,\""camera\"":false,\""note\"":false}}\n[Ignored by Rescuer ID: 13]"",""assigned_by"":""Self""}",Normal,completed,2026-07-14 17:36:56,,DESKTOP-KBHB0SB
254,N/A,919000000007,"{""message"":""AI ASSIGNED: SOS at Detected via GPS"",""sector"":""Detected via GPS"",""lat"":12.9943855,""lng"":80.1956565,""urgency"":""normal"",""rescue_req_id"":472,""requester_name"":""ram"",""requester_phone"":""918000000004"",""details"":""{\""transportMode\"":\""AIR\"",\""needs\"":[6,2,1,2],\""peopleCount\"":\""5\"",\""address\"":\""\"",\""attachments\"":{\""voice\"":false,\""camera\"":false,\""note\"":false}}"",""assigned_by"":""AI"",""assignment_version"":1}",Normal,completed,2026-07-14 17:37:56,,DESKTOP-KBHB0SB
255,N/A,919000000004,"{""message"":""AI ASSIGNED: SOS at Detected via GPS"",""sector"":""Detected via GPS"",""lat"":12.9943855,""lng"":80.1956565,""urgency"":""normal"",""rescue_req_id"":472,""requester_name"":""ram"",""requester_phone"":""918000000004"",""details"":""{\""transportMode\"":\""AIR\"",\""needs\"":[6,2,1,2],\""peopleCount\"":\""5\"",\""address\"":\""\"",\""attachments\"":{\""voice\"":false,\""camera\"":false,\""note\"":false}}\n[Declined by Rescuer ID: 13]"",""assigned_by"":""AI"",""assignment_version"":2}",Normal,completed,2026-07-14 17:38:27,,DESKTOP-KBHB0SB
256,N/A,919000000004,"{""message"":""SELF-ASSIGNED: SOS at Detected via GPS"",""sector"":""Detected via GPS"",""lat"":12.9943855,""lng"":80.1956565,""urgency"":""normal"",""rescue_req_id"":472,""requester_name"":""ram"",""requester_phone"":""918000000004"",""details"":""{\""transportMode\"":\""AIR\"",\""needs\"":[6,2,1,2],\""peopleCount\"":\""5\"",\""address\"":\""\"",\""attachments\"":{\""voice\"":false,\""camera\"":false,\""note\"":false}}\n[Declined by Rescuer ID: 13]"",""assigned_by"":""Self""}",Normal,completed,2026-07-14 17:38:35,,DESKTOP-KBHB0SB
257,N/A,919000000007,"{""message"":""SUPPLIES RESCUE at Detected via GPS"",""sector"":""Detected via GPS"",""lat"":13.085,""lng"":80.272,""urgency"":""normal"",""rescue_req_id"":473,""requester_name"":""ram"",""requester_phone"":""918000000004"",""details"":""{\""transportMode\"":\""BOAT\"",\""needs\"":[6,2,1,2],\""peopleCount\"":\""5\"",\""address\"":\""\"",\""attachments\"":{\""voice\"":false,\""camera\"":false,\""note\"":false}}\n[Declined by Rescuer ID: 13]""}",Normal,completed,2026-07-14 17:39:27,,DESKTOP-KBHB0SB
258,N/A,919000000007,"{""message"":""SELF-ASSIGNED: SUPPLIES at Detected via GPS"",""sector"":""Detected via GPS"",""lat"":13.085,""lng"":80.272,""urgency"":""normal"",""rescue_req_id"":473,""requester_name"":""ram"",""requester_phone"":""918000000004"",""details"":""{\""transportMode\"":\""BOAT\"",\""needs\"":[6,2,1,2],\""peopleCount\"":\""5\"",\""address\"":\""\"",\""attachments\"":{\""voice\"":false,\""camera\"":false,\""note\"":false}}\n[Declined by Rescuer ID: 13]"",""assigned_by"":""Self""}",Normal,completed,2026-07-14 17:39:51,,DESKTOP-KBHB0SB


SECTION 3: PUBLIC SOS ALERTS
SOS ID,Device ID,Phone,Latitude,Longitude,Details,Status,Priority,Alert Time,Device Node
NO SOS ALERTS FOR THIS DATE
